ToolName,Strength,Category,N_Invalid
kali,3,MCAC_,21
pmedici,3,MCAC_,2
kali,3,MCA_,9
kali,3,NUMC_,18
medici,3,NUMC_,19
kali,3,BOOLC_,23
kali,3,INDUSTRIAL_,11
medici,3,INDUSTRIAL_,3
pmedici,3,INDUSTRIAL_,1
kali,3,HIGHLY_CONSTRAINED_,26
pmedici,3,HIGHLY_CONSTRAINED_,3
kali,3,FM_,13
medici,3,FM_,1
kali,3,CNF_,24
pmedici,3,CNF_,2
kali,5,MCAC_,4
kali,5,NUMC_,4
medici,5,NUMC_,19
caopt,5,BOOLC_,1
kali,5,BOOLC_,29
kali,5,INDUSTRIAL_,7
medici,5,INDUSTRIAL_,1
caopt,5,HIGHLY_CONSTRAINED_,1
kali,5,HIGHLY_CONSTRAINED_,3
kali,5,FM_,10
medici,5,FM_,1
kali,5,CNF_,6
kali,2,MCAC_,25
pmedici,2,MCAC_,3
kali,2,MCA_,10
kali,2,NUMC_,28
medici,2,NUMC_,20
kali,2,BOOLC_,14
kali,2,INDUSTRIAL_,11
medici,2,INDUSTRIAL_,3
pmedici,2,INDUSTRIAL_,1
kali,2,HIGHLY_CONSTRAINED_,25
pmedici,2,HIGHLY_CONSTRAINED_,5
kali,2,FM_,11
medici,2,FM_,1
kali,2,CNF_,27
pmedici,2,CNF_,3
kali,6,MCAC_,2
caopt,6,NUMC_,1
kali,6,NUMC_,3
medici,6,NUMC_,19
caopt,6,BOOLC_,1
kali,6,BOOLC_,28
kali,6,INDUSTRIAL_,7
medici,6,INDUSTRIAL_,1
kali,6,HIGHLY_CONSTRAINED_,2
kali,6,FM_,9
medici,6,FM_,1
kali,6,CNF_,3
kali,4,MCAC_,14
kali,4,NUMC_,8
medici,4,NUMC_,20
kali,4,BOOLC_,29
kali,4,INDUSTRIAL_,9
medici,4,INDUSTRIAL_,1
kali,4,HIGHLY_CONSTRAINED_,11
kali,4,FM_,13
medici,4,FM_,1
kali,4,CNF_,14
